name,category,desc,qty,price,cost,Status,shop name,Creator,Actions,Created,,
digital multi meter (small),meter,t,1,700,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
green,staircase light,t,4,600,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
blue,staircase light,t,2,600,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
white,staircase light,t,1,600,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
yellow,staircase light,t,1,600,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
lockable tap 1/2,tap,t,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
lockable tap 3/4,tap,t,1,650,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
gate valve lirlee 3/4,tap,t,1,650,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
gate valve lirlee 1/2,tap,t,1,450,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
gate valve lirlee 1,tap,t,1,900,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pillar tap lirlee 1/2,tap,t,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
wall tap lirlee 1/2 silver,tap,t,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
taps pepler,tap,t,1,450,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
popups,tap,t,5,350,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
angle valves 1/2 to 3/4 lirlee,tap,t,1,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
angle valves 1/2 to 1/2 lirlee,tap,t,1,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
dispensar taps,tap,t,1,1800,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
reducing socket 32 to 25mm2,tap,t,10,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
non return 1,tap,t,1,1800,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
non return 11/2,tap,t,0,2500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
reducing socket 32 to 20,tap,t,6,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 20mm2,ppr,t,4,20,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 25mm2,ppr,t,31,20,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 32mm2,ppr,t,0,30,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 40mm2,ppr,t,0,40,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 1,ppr,t,0,30,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 2,ppr,t,0,150,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
ppr elbow 20mm2,ppr,t,3,20,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
flexible 4,ppr,t,2,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
inspector bend,ppr,t,7,300,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
bottle trap 11/4 (viega),ppr,t,6,250,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
bottle trap 11/2 (viega),ppr,t,2,250,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
duel flashing kit 11/2 (KOMFI),ppr,t,2,850,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flexible pipe 1/2*2ft (brazil),ppr,t,9,150,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flexible bottle trap 11/2 (viega),ppr,t,2,200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flexible bottle trap 11/4 (viega),ppr,t,2,250,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flexible pipe 11/2ft*1/2 (Brazil),ppr,t,10,200,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flexible pipe 1ft *1/2 (Italy),ppr,t,8,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flexible pipe 11/2ft *1/2 (Italy),ppr,t,10,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Pipe 20mm,Pipe,20mm pvc conduits,40,110,75,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:19 a.m.
6mm single cable red asl,Cable,6mm single cable red asl,11,11050,3000,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:21 a.m.
6mm single black asl,Cable,6mm single black asl,11,11050,3000,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:23 a.m.
4mm single green asl,Cable,4mm single green asl,12,7500,1000,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:25 a.m.
2.5mm single red asl,Cable,2.5mm single red asl,4,4700,1500,low,Touch & Light,gitonga,Edit,4-Mar,2024, 11:27 a.m.
2.5mm single black asl,Cable,2.5mm single black asl,8,4700,1500,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:29 a.m.
2.5mm single green asl,Cable,2.5mm single green asl,5,4700,1500,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:32 a.m.
1.5mm twin and earth per meter,Cable,1.5mm twin and earth,90,130,100,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:39 a.m.
2.5mm twin and earth Finley per meter,Cable,2.5mm twin and earth per meter,90,220,150,Active,Touch & Light,gitonga,Edit,4-Mar,2024, 11:45 a.m.
Astel aerial cable,Cable for aerial,Astel aerial cable,2,2500,1250,low,Touch & Light,gitonga,Edit,5-Mar,2024, 1:04 p.m.
Straight holder big,Holder,Straight holder big,30,100,55,Active,Touch & Light,gitonga,Edit,5-Mar,2024, 1:07 p.m.
Straight holder uk,Holder,Straight holder uk,10,50,29,Active,Touch & Light,gitonga,Edit,5-Mar,2024, 1:09 p.m.
Hanging uk pendant,Pendant holder,Hanging uk pendant,20,50,20,Active,Touch & Light,gitonga,Edit,5-Mar,2024, 1:11 p.m.
4t shower enerbras,Shower,4t shower enerbras,1,2500,1800,low,Touch & Light,gitonga,Edit,5-Mar,2024, 1:13 p.m.
