name,category,desc,qty,price,cost,Status,shop name,Creator,Actions,Created,,
snoek light 5mfr complete,padlock,r,2,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
eletrick kettle titer,kettle,r,1,2000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
eletrick kettle sathixa,kettle,r,2,2000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
mccb black 100amps,mccb,r,1,3000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
circullar 4way boxes,boxes,r,10,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
25mm2 normal bends boxes,boxes,r,15,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
32mm2 normal bends boxes,boxes,r,3,50,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
32mm2 couplers,couplers,r,2,15,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
25mm2 couplers,couplers,r,11,5,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
4 pin chaser,chaser,r,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
2pin bulb jc G4,bulb,r,5,400,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
boss white bulb 400g,bulb,r,1,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
conduct 50mm,conduct,r,6,500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
conduct 32mm,conduct,r,14,250,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
conduct 25mm,conduct,r,30,200,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
conduct 20mm,conduct,r,68,120,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
flood light +sens vellmax 50wott,vellmax,r,3,3500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
1.5 East African single cable (Red),cable,r,2,2000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
1.5 East African single cable (Red),cable,r,2,3000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
1.5 East African single cable (Red),cable,r,2,3000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
1.5 East African single cable (black),cable,r,8,2800,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
1.5 East African single cable (green),cable,r,10,2880,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
coast cable(red),cable,r,1,2800,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
2.5 single cable(red),cable,r,5,4700,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
2.5 single cable(black),cable,r,5,4700,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
2.5 single cable(green),cable,r,4,4700,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
4.0 single cable(green),cable,r,6,75500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
4.0 single cable(black),cable,r,4,7550,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
4.0 single cable(red),cable,r,4,7550,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
6.0 single cable(red),cable,r,7,11150,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
6.0 single cable(black),cable,r,6,11150,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
6.0 single cable(green),cable,r,6,11150,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Twin cable 1.5 monster,cable,r,2,5500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Twin cable 1.5 finboy,cable,r,1,10000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
sneak light wormlight,worm light,r,1,5000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
4way 2y consumer unit,consumer unity,r,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
5ways extension ASTRA,extension,r,1,800,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Fan remote,extension,r,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Astel cable,cable,r,1,2500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Phelistar cable,cable,r,1,1550,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
Speaker cable,cable,r,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:08 a.m.
